days, mement, link
931 , 5 ,"http://www.interfluidity.com/v2/5031.html"
555 , 7 ,"http://radar.oreilly.com/2014/02/trope-or-fact-technology-creates-more-jobs-than-it-destroys.html"
2206 , 10 ,"http://recode.net/2014/01/15/googbye-email-addresses-phone-numbers/"
1264 , 43 ,"http://www.akronaccelerator.com"
555 , 3 ,"http://radar.oreilly.com/2014/03/the-new-php.html"
86 , 5 ,"http://radar.oreilly.com/2014/07/tell-us-your-full-stack-story.html"
244 , 13 ,"http://www.people-press.org/2014/01/27/deficit-reduction-declines-as-policy-priority/"
4377 , 7 ,"http://missiontomarshealth.com/about/"
953 , 8 ,"http://ecorner.stanford.edu/authorMaterialInfo.html?mid=3103"
112 , 6 ,"http://www.zdnet.com/visionary-award-winner-tim-oreilly-calls-on-techies-to-help-local-government-7000030231/"
201 , 8 ,"http://www.washingtonmonthly.com/magazine/junejulyaugust_2014/features/the_big_lobotomy050642.php?page=all"
660 , 38 ,"http://www.theverge.com/2014/6/25/5842188/googles-cardboard-turns-your-android-device-into-a-vr-headset"
211 , 6 ,"http://robotenomics.com/about/"
2147 , 95 ,"http://techcrunch.com/2013/12/21/the-ultimate-cheat-sheet-for-selling-anything/"
555 , 5 ,"http://radar.oreilly.com/2014/02/academic-biology-and-its-discontents.html#more-59290"
236 , 4 ,"http://fredrikdeboer.com/2014/02/01/online-education-and-the-desperate-need-for-educational-realism/"
78 , 62 ,"http://www.latimes.com/business/hiltzik/la-fi-mh-kansas-a-smoking-ruin-20140709-column.html"
1079 , 5 ,"http://recode.net/2014/06/24/stripe-inks-monumental-deal-with-alipay-to-connect-chinese-with-western-brands/"
196 , 26 ,"http://makezine.com/2014/03/12/3-reasons-to-join-the-maker-faire-bay-area-street-team/"
281 , 10 ,"http://recode.net/2014/02/14/race-alongside-the-machine/"
3152 , 9 ,"http://www.mckinsey.com/insights/business_technology/opening_up_open_data_an_interview_with_tim_o_reilly"
77 , 115 ,"https://twitter.com/congressedits"
1264 , 3 ,"http://www.technologyreview.com/qa/530901/technology-stalled-in-1970/"
203 , 33 ,"http://qz.com/184019/how-kickstarter-users-raised-nearly-1-billion-the-really-long-tail-of-crowdfunding/"
1237 , 11 ,"http://www.jpl.nasa.gov/news/news.php?release=2014-037"
702 , 10 ,"http://www.transitmix.net/"
44 , 5 ,"https://playbook.cio.gov/"
238 , 9 ,"http://www.oscon.com/oscon2014/public/content/video"
891 , 3 ,"http://www.theguardian.com/world/2014/jul/11/miami-drowning-climate-change-deniers-sea-levels-rising?CMP=fb_gu"
397 , 9 ,"http://www.darpa.mil/opencatalog/index.html"
375 , 5 ,"http://web.mit.edu/bigdata-priv/index.html"
646 , 14 ,"http://tomtunguz.com/tech-consolidation/"
1946 , 5 ,"https://opensource.com/life/14/1/open-hardware-ask-an-engineer"
4747 , 1002 ,"https://www.ifixit.com"
440 , 5 ,"http://seattletimes.com/html/businesstechnology/2023272500_boeing777sfcrashxml.html"
2682 , 5 ,"http://www.scientificamerican.com/article/do-we-need-flame-retardants-in-electronics/"
205 , 3 ,"http://live.fastcompany.com/Event/World_Changing_Ideas_A_QA_With_Andrew_Kassoy_Cofounder_Of_B_Lab"
1926 , 45 ,"http://www.slideshare.net/Timoreilly1/technological-revolutions-and-cultural-revolutions-oscon-2014"
759 , 5 ,"http://radar.oreilly.com/2014/04/the-evolving-purpose-of-design.html"
1218 , 12 ,"http://www.people-press.org/2014/06/26/the-political-typology-beyond-red-vs-blue/"
179 , 29 ,"http://graphics8.nytimes.com/newsgraphics/2014/03/28/autism/cf7ae65edcaeeb82fe3f523d1dfaec50125327d1/0330-web-AUTISM-945.png"
